"screenshot_label","period_start","period_end","district","dashboard_patrol","dashboard_tru","dashboard_total","api_non_trs","api_trs","api_total","patrol_difference","trs_difference","total_difference"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","1D","86","4","90","91","4","95","5","0","5"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","2D","64","10","74","68","10","78","4","0","4"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","3D","101","11","112","94","17","111","-7","6","-1"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","4D","97","3","100","99","6","105","2","3","5"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","5D","77","6","83","83","6","89","6","0","6"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","6D","90","3","93","93","3","96","3","0","3"
"Aug 7 full day","2026-08-07T00:00","2026-08-08T00:00","OOC","0","0","0","0","0","0","0","0","0"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","1D","64","5","69","68","6","74","4","1","5"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","2D","62","1","63","67","4","71","5","3","8"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","3D","84","8","92","90","8","98","6","0","6"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","4D","100","10","110","107","10","117","7","0","7"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","5D","64","1","65","71","1","72","7","0","7"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","6D","76","4","80","75","11","86","-1","7","6"
"Aug 8 full day","2026-08-08T00:00","2026-08-09T00:00","OOC","0","0","0","0","0","0","0","0","0"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","1D","60","3","63","66","3","69","6","0","6"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","2D","63","6","69","68","6","74","5","0","5"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","3D","95","10","105","99","9","108","4","-1","3"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","4D","81","6","87","90","6","96","9","0","9"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","5D","59","4","63","63","4","67","4","0","4"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","6D","63","1","64","72","1","73","9","0","9"
"Aug 9 full day","2026-08-09T00:00","2026-08-10T00:00","OOC","0","0","0","0","0","0","0","0","0"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","1D","105","10","115","113","10","123","8","0","8"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","2D","78","7","85","86","7","93","8","0","8"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","3D","101","14","115","98","16","114","-3","2","-1"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","4D","103","16","119","111","16","127","8","0","8"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","5D","74","8","82","80","10","90","6","2","8"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","6D","89","2","91","97","2","99","8","0","8"
"Aug 10 full day","2026-08-10T00:00","2026-08-11T00:00","OOC","1","0","1","1","0","1","0","0","0"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","1D","54","3","57","61","4","65","7","1","8"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","2D","43","4","47","42","6","48","-1","2","1"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","3D","55","5","60","56","5","61","1","0","1"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","4D","48","8","56","47","11","58","-1","3","2"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","5D","35","1","36","37","1","38","2","0","2"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","6D","49","4","53","56","4","60","7","0","7"
"Aug 11 before 17:00","2026-08-11T00:00","2026-08-11T17:00","OOC","0","0","0","0","0","0","0","0","0"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","1D","39","5","44","26","3","29","-13","-2","-15"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","2D","47","3","50","30","1","31","-17","-2","-19"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","3D","57","7","64","32","6","38","-25","-1","-26"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","4D","39","1","40","25","1","26","-14","0","-14"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","5D","34","3","37","26","3","29","-8","0","-8"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","6D","37","4","41","16","4","20","-21","0","-21"
"Aug 12 before 17:00","2026-08-12T00:00","2026-08-12T17:00","OOC","1","0","1","1","0","1","0","0","0"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","1D","77","5","82","87","6","93","10","1","11"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","2D","67","4","71","67","6","73","0","2","2"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","3D","88","7","95","89","7","96","1","0","1"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","4D","74","8","82","74","12","86","0","4","4"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","5D","56","2","58","61","2","63","5","0","5"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","6D","75","5","80","84","8","92","9","3","12"
"Aug 11 full day duplicate column","2026-08-11T00:00","2026-08-12T00:00","OOC","0","0","0","0","0","0","0","0","0"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","1D","39","5","44","26","3","29","-13","-2","-15"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","2D","47","3","50","30","1","31","-17","-2","-19"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","3D","57","7","64","32","6","38","-25","-1","-26"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","4D","39","1","40","25","1","26","-14","0","-14"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","5D","34","3","37","26","3","29","-8","0","-8"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","6D","37","4","41","16","4","20","-21","0","-21"
"Aug 12 full day duplicate column","2026-08-12T00:00","2026-08-13T00:00","OOC","1","0","1","1","0","1","0","0","0"
