"incident_id","start_time","case_number","priority","district","beat","initial_type","final_tru_type"
"P2600195761","2026-07-01T02:28:43.000","260028905","4","6D","P2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600195866","2026-07-01T06:17:26.000","260028910","4","4D","K1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600195867","2026-07-01T06:21:00.000","260028913","4","2D","D2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600195893","2026-07-01T07:02:31.000","260028915","4","2D","D2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600195913","2026-07-01T07:28:12.000","260028916","4","5D","N1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600195977","2026-07-01T09:08:20.000","260028923","4","4D","K1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600195990","2026-07-01T09:20:44.000","260028926","4","1D","A2","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600195986","2026-07-01T09:16:30.000","260028932","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196034","2026-07-01T10:20:27.000","260028939","4","3D","I1","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600196069","2026-07-01T11:02:56.000","260028948","4","3D","G2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196135","2026-07-01T12:09:27.000","260028958","4","1D","A2","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600196054","2026-07-01T10:45:39.000","260028959","4","1D","A2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196073","2026-07-01T11:06:00.000","260028960","4","2D","E2","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT","FRAUDT-TRS FRAUD / DECEPTION - TELEPHONE REPORTING UNIT"
"P2600196050","2026-07-01T10:41:26.000","260028964","4","3D","I1","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT","LOSTT-TRS ADMIN (DOCUMENT, LOST OR FOUND PROP, MESSAGES - TELEPHONE REPORTING UNIT"
"P2600196089","2026-07-01T11:20:39.000","260028966","4","3D","I2","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT","STLVEHT - TRS STOLEN VEHICLE - TELEPHONE REPORTING UNIT"
"P2600196165","2026-07-01T12:27:35.000","260028968","4","3D","G1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196143","2026-07-01T12:15:24.000","260028969","4","3D","G1","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT","VANDALISM, DAMAGE, MISCHIEF-TRS - TELEPHONE REPORTING UNIT"
"P2600196206","2026-07-01T12:59:48.000","260028970","4","2D","E2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196194","2026-07-01T12:50:55.000","260028975","4","4D","L1","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196202","2026-07-01T12:53:51.000","260028978","4","6D","R2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
"P2600196303","2026-07-01T14:28:10.000","260028980","4","6D","P2","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT","THEFTT - TRS THEFT/LARCENY - TELEPHONE REPORTING UNIT"
