scope_type,scope_value,quarter,start,end_exclusive,days,total_cfs,tru_calls,patrol_estimate_calls,tru_calls_per_day,patrol_estimate_calls_per_day,event_reports_total,tru_event_reports,patrol_estimate_event_reports,tru_share_of_total_calls,tru_share_of_event_reports,tru_event_report_conversion,patrol_estimate_event_report_conversion,tru_calls_without_event_report,tru_calls_without_event_report_share,tru_timing_valid_count,tru_timing_coverage_share,tru_average_seconds,tru_median_seconds,tru_p90_seconds,tru_over_1_hour_share,tru_over_2_hours_share,tru_over_3_hours_share,tru_over_4_hours_share,remained_tru,routed_into_tru,routed_away_from_tru
Countywide,Countywide,2024 Q3,2024-07-01,2024-10-01,92,52684,4293,48391,46.66304347826087,525.9891304347826,9973,2579,7394,8.148584010325715,25.85982151809887,60.07453994875378,15.279700770804489,1714,39.92546005124621,4278,99.65059399021663,8719.601449275362,6379.5,17695.500000000015,77.98036465638148,43.05750350631136,25.081813931743806,15.381019167835436,4219,74,237
Countywide,Countywide,2024 Q4,2024-10-01,2025-01-01,92,51683,4064,47619,44.17391304347826,517.5978260869565,9805,2549,7256,7.863320627672541,25.99694033656298,62.72145669291339,15.237615237615238,1515,37.278543307086615,4055,99.77854330708661,6821.201479654747,4857,13631.2,67.52157829839705,28.853267570900123,14.845869297163993,9.124537607891492,4013,51,194
Countywide,Countywide,2025 Q1,2025-01-01,2025-04-01,90,46322,3575,42747,39.72222222222222,474.96666666666664,9094,2368,6726,7.717715124562844,26.03914669012536,66.23776223776224,15.734437504386273,1207,33.76223776223776,3567,99.77622377622377,5822.489486963836,4065,10370.800000000001,58.424446313428646,21.138211382113823,9.335576114381833,6.111578357162882,3535,40,175
Countywide,Countywide,2025 Q2,2025-04-01,2025-07-01,91,50737,3740,46997,41.0989010989011,516.4505494505495,9632,2372,7260,7.371346354731262,24.62624584717608,63.422459893048135,15.447794540077025,1368,36.57754010695187,3731,99.75935828877004,5337.844813722862,4140,10044,57.97373358348968,20.611096220852318,8.46957920128652,4.181184668989547,3688,52,202
Countywide,Countywide,2025 Q3,2025-07-01,2025-10-01,92,50586,3642,46944,39.58695652173913,510.2608695652174,9305,2161,7144,7.199620448345392,23.22407307898979,59.335529928610654,15.21813224267212,1481,40.664470071389346,3633,99.7528830313015,6318.638865951005,4830,11918.600000000008,67.60253234241674,26.25928984310487,12.056151940545003,6.5235342691990095,3596,46,205
Countywide,Countywide,2025 Q4,2025-10-01,2026-01-01,92,48144,3261,44883,35.44565217391305,487.85869565217394,8779,1927,6852,6.773429710867397,21.9501082127805,59.092302974547685,15.266359200588195,1334,40.907697025452315,3253,99.75467647960748,7292.591761450968,5830,13952.000000000004,74.70027666769136,38.30310482631417,19.335997540731633,8.914847832769752,3215,46,184
Countywide,Countywide,2026 Q1,2026-01-01,2026-04-01,90,45495,3570,41925,39.666666666666664,465.8333333333333,8558,2141,6417,7.847016155621497,25.017527459686846,59.97198879551821,15.305903398926654,1429,40.02801120448179,3556,99.6078431372549,8684.080989876265,6503,18078.5,79.24634420697413,44.65691788526434,26.546681664791898,16.90101237345332,3511,59,166
Countywide,Countywide,2026 Q2,2026-04-01,2026-07-01,91,51532,4109,47423,45.15384615384615,521.1318681318681,9491,2424,7067,7.973686253201893,25.539985249183438,58.99245558530056,14.902051747042574,1685,41.007544414699446,4095,99.65928449744463,7030.41391941392,5503,14105.999999999998,71.4041514041514,35.50671550671551,18.60805860805861,9.27960927960928,4046,63,259
District,1D,2024 Q3,2024-07-01,2024-10-01,92,8537,490,8047,5.326086956521739,87.46739130434783,1458,291,1167,5.739721213541057,19.958847736625515,59.38775510204082,14.502298993413696,199,40.61224489795918,489,99.79591836734694,8762.286298568508,6670,18050.6,77.50511247443764,45.194274028629856,24.948875255623722,16.155419222903884,480,10,26
District,1D,2024 Q4,2024-10-01,2025-01-01,92,8420,421,7999,4.576086956521739,86.94565217391305,1419,252,1167,5,17.758985200845668,59.857482185273156,14.589323665458181,169,40.142517814726844,418,99.2874109263658,6526.375598086124,4593.5,13158.200000000003,65.55023923444976,27.033492822966508,14.114832535885165,8.133971291866029,415,6,21
